               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.031702,           0.0062616,                   0,             0.89705,             0.71312,             0.78697,              0.4008,            0.038279,            0.007012,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.032239,           0.0063605,                   0,             0.89798,             0.71228,             0.78721,             0.40312,            0.037953,           0.0069387,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.03153,           0.0062455,                   0,             0.88265,             0.73785,             0.79194,             0.40495,            0.038059,           0.0068766,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.031531,           0.0062528,                   0,             0.86818,             0.73018,             0.79178,             0.40057,            0.038529,           0.0069243,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.031522,           0.0062346,                   0,             0.87662,             0.74936,             0.80318,             0.40729,            0.037947,           0.0068424,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.030951,           0.0062263,                   0,             0.87963,             0.74297,             0.79268,             0.40261,            0.038042,             0.00687,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.03096,           0.0061702,                   0,              0.9117,             0.71739,             0.79225,             0.40401,            0.038267,            0.006873,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.030786,           0.0061051,                   0,             0.91352,             0.72251,             0.79611,             0.40542,            0.037802,            0.006846,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.030388,           0.0061922,                   0,             0.89649,             0.72251,             0.79453,              0.4072,             0.03782,           0.0069001,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.030133,           0.0061269,                   0,              0.8971,             0.72123,             0.79555,             0.41292,            0.037581,           0.0069144,                   0,            0.000298,            0.000298,            0.000298
